session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
INTC_2024-12-02,buy,x_over_adv,2.98858285312373e-05,69324,2.167201514706287,0.006969544418674905,1.0506603858081887,0.5512198267961703,1.0
INTC_2024-12-02,buy,x_over_adv,3.974779910323355e-05,46216,2.2147047695127347,0.007122311035973084,1.0739334631319009,0.6404562039779538,1.0
INTC_2024-12-02,buy,x_over_adv,5.0042002732499766e-05,46216,2.2698343516863355,0.007299603303966894,1.10090821807403,0.7269276601827626,1.0
INTC_2024-12-02,buy,x_over_adv,6.300899445059859e-05,46216,2.3458778315584827,0.007544152971878771,1.1380919595147112,0.8281627586537799,1.0
INTC_2024-12-02,buy,x_over_adv,7.933681871604141e-05,46216,2.454805879369309,0.007894456744972982,1.1914145875212248,0.9461748577879019,1.0
INTC_2024-12-02,buy,x_over_adv,9.984583622936099e-05,46216,2.6121601119758293,0.008400495203406912,1.2684867708996668,1.0810884735607909,1.0
INTC_2024-12-02,buy,x_over_adv,0.00012572689316875008,46216,2.8350538613791563,0.009117303435853175,1.377644081182769,1.2304244163363038,1.0
INTC_2024-12-02,buy,x_over_adv,0.00015825022545761427,46216,3.138090920996118,0.010091846058296517,1.5259292806703482,1.3887932720965197,1.0
INTC_2024-12-02,buy,x_over_adv,0.00019924179723584913,46216,3.522043837035553,0.011326607516729361,1.7136468308516228,1.5583295220455597,1.0
INTC_2024-12-02,buy,x_over_adv,0.00025084513162420164,46216,3.9920344698541146,0.0128380592989297,1.9432195654361357,1.7459000440259143,1.0
INTC_2024-12-02,buy,x_over_adv,0.00033541285244148973,69324,4.738374269342347,0.015238227602920163,2.3072472235186394,2.038439657461517,1.0
INTC_2024-12-02,buy,x_over_adv,0.00044606451510259977,46216,5.683755871843945,0.018278498212977355,2.768312884646812,2.345137781362464,1.0
INTC_2024-12-02,buy,x_over_adv,0.000561549432461945,46209,6.610772045170606,0.02125970709133393,3.220568819194563,2.6330501686557506,0.9998485373030985
INTC_2024-12-02,buy,x_over_adv,0.0007069348183104326,46195,7.714146352477115,0.024808069434666628,3.7587281674495054,2.9626473005772924,0.9995456119092955
INTC_2024-12-02,buy,x_over_adv,0.0008899653138659923,46072,9.024501264860351,0.029022064628058473,4.400370982076076,3.3177504995079174,0.9968841959494548
INTC_2024-12-02,buy,x_over_adv,0.0011202424006332133,45674,10.567756034606433,0.033985046886095015,5.15745749372704,3.6741055042409947,0.9882724597541976
INTC_2024-12-02,buy,x_over_adv,0.001409964838617166,44593,12.32981042396374,0.03965167098699743,6.024083621624945,3.9445086232782103,0.9648822918469794
INTC_2024-12-02,buy,x_over_adv,0.0018707652930781847,58360,14.477488288219979,0.04655842892822529,7.0807016476213285,4.197033227699035,0.7813635970226761
INTC_2024-12-02,buy,x_over_adv,0.0035114053364680236,54324,15.999967026104871,0.05145459715170262,7.853817602920793,4.994179773541209,0.10299717948456863
INTC_2024-12-02,buy,x_over_depth,0.00041366345909256923,48394,2.076122378821845,0.006676641299673912,1.000000000000017,0.25163296550240233,1.0
INTC_2024-12-02,buy,x_over_depth,0.001044180861956752,48395,2.0727675834638686,0.006665852549710275,1.0000000000000189,0.2515249317326712,1.0
INTC_2024-12-02,buy,x_over_depth,0.0017326472711149483,48399,2.069893882907196,0.006656610961634691,1.0000000000000164,0.24707416062308646,1.0
INTC_2024-12-02,buy,x_over_depth,0.002525873721307483,48392,2.066945768410704,0.006647130064359927,1.0000000000000144,0.24414809448758612,1.0
INTC_2024-12-02,buy,x_over_depth,0.0034657805030483004,48351,2.0653793223269163,0.006642092500715599,1.0000000000000109,0.24470239320120232,1.0
INTC_2024-12-02,buy,x_over_depth,0.004611954233433306,48430,2.064016416179648,0.006637709505010118,1.0000000000000127,0.24519934425292292,1.0
INTC_2024-12-02,buy,x_over_depth,0.0060380805755100376,48414,2.064395622771918,0.006638929002675999,1.0000000000000104,0.24779834012837562,1.0
INTC_2024-12-02,buy,x_over_depth,0.007829104888821678,48395,2.0645624039649926,0.006639465357475238,1.000000000000004,0.2507004599398432,1.0
INTC_2024-12-02,buy,x_over_depth,0.010085773209071199,48397,2.06313177336606,0.006634864565422301,1.000000000000007,0.2444965787811476,1.0
INTC_2024-12-02,buy,x_over_depth,0.012953511724443605,48403,2.063914985898061,0.0066373833134455015,1.0000000000000078,0.24986717498754457,1.0
INTC_2024-12-02,buy,x_over_depth,0.01659331379358008,48397,2.0640349943781513,0.0066377692509907325,1.0000000000000104,0.24850316378204274,1.0
INTC_2024-12-02,buy,x_over_depth,0.0212134569671478,48397,2.063177804040585,0.006635012596340767,1.0000000000000175,0.2464784454358792,1.0
INTC_2024-12-02,buy,x_over_depth,0.02709335775653729,48397,2.064072543058432,0.0066378900045031795,1.0000000000000246,0.2491737077115732,1.0
INTC_2024-12-02,buy,x_over_depth,0.03455626086299321,48390,2.0639819457208284,0.0066375986508084,1.0000000000000286,0.24937907135779547,1.0
INTC_2024-12-02,buy,x_over_depth,0.044064009810163694,48404,2.0638257626210925,0.0066370963786183575,1.00000000000003,0.24924379023517168,1.0
INTC_2024-12-02,buy,x_over_depth,0.05614371564689982,48328,2.0642570410787875,0.006638483335182997,1.0000000000000289,0.2501530654222358,1.0
INTC_2024-12-02,buy,x_over_depth,0.07154031497043646,48462,2.063507912422478,0.006636074198141509,1.0000000000000275,0.2479009954142632,1.0
INTC_2024-12-02,buy,x_over_depth,0.09113594593150437,48396,2.063134305162466,0.006634872707474341,1.0000000000000184,0.24599185531359927,1.0
INTC_2024-12-02,buy,x_over_depth,0.11605868678014085,48402,2.0636153454858763,0.006636419694165901,1.0000000000000169,0.249111658787268,1.0
INTC_2024-12-02,buy,x_over_depth,0.14780384610731814,48392,2.0637884367041286,0.006636976341494682,1.000000000000009,0.24806852921230585,1.0
INTC_2024-12-02,buy,x_over_depth,0.18818024761827384,48401,2.063751860159722,0.006636858714292415,1.000000000000009,0.24861436291476965,1.0
INTC_2024-12-02,buy,x_over_depth,0.23957650852616688,48380,2.063417984434644,0.006635784997021337,1.0000000000000064,0.24721144567890616,1.0
INTC_2024-12-02,buy,x_over_depth,0.3050039902850698,48407,2.06395455269338,0.006637510557052341,1.0000000000000067,0.24859891277117874,1.0
