session,model,decile,predicted,realised,realised_se,n,ratio
INTC_2024-12-02,propagator,5,0.00037983628731278407,0.00023091544684446664,1.646382412780563e-05,190,0.6079341404638218
INTC_2024-12-02,propagator,6,0.0004358008767747809,0.0002627144110113978,2.1499683826819574e-05,191,0.6028313044151284
INTC_2024-12-02,propagator,7,0.0006389153536718521,0.0005067079942233725,3.0236482362651903e-05,190,0.7930753132027853
INTC_2024-12-02,propagator,8,0.0013345586849355113,0.0006024697963078543,3.447425471220701e-05,191,0.4514374700105203
INTC_2024-12-02,propagator,9,0.004200287726690566,0.0009309822146815036,5.323499829728516e-05,190,0.2216472478220035
AAPL_2024-02-01,propagator,0,3.0549872494585635e-05,1.0737362863589711e-05,7.429807349177406e-07,497,0.3514699730904834
AAPL_2024-02-01,propagator,1,4.8021455050095986e-05,1.4644499112552504e-05,1.0832545587144007e-06,326,0.30495742157907046
AAPL_2024-02-01,propagator,2,5.554828907061697e-05,1.7448505299486172e-05,6.976728308217267e-07,678,0.3141141804980596
AAPL_2024-02-01,propagator,3,6.356901821509561e-05,2.4678838459178867e-05,9.296126797781621e-07,501,0.38822116735662326
AAPL_2024-02-01,propagator,4,6.901261783874088e-05,3.163321561647919e-05,1.0710752206310466e-06,512,0.4583685796472075
AAPL_2024-02-01,propagator,5,7.602143039157119e-05,3.919476056374842e-05,1.5891633511910035e-06,485,0.5155751524519342
AAPL_2024-02-01,propagator,6,8.76582005241521e-05,5.453499364228425e-05,2.1244520603130586e-06,503,0.62213225136031
AAPL_2024-02-01,propagator,7,0.00011511271532730862,6.569880312768994e-05,2.757117571870177e-06,500,0.57073454431931
AAPL_2024-02-01,propagator,8,0.0001686784746431483,9.050806546757881e-05,3.326058362135647e-06,501,0.5365715196266463
AAPL_2024-02-01,propagator,9,0.0003457016771697832,0.00013510855039123904,3.995432218128692e-06,500,0.39082411024833896
AAPL_2024-04-01,propagator,0,1.2700192441639418e-05,6.40874730323725e-06,9.101120929599432e-07,179,0.5046181254880236
AAPL_2024-04-01,propagator,1,2.624143210824128e-05,1.2394276864854827e-05,9.079215400957141e-07,299,0.47231709053570786
AAPL_2024-04-01,propagator,2,3.619081566167174e-05,1.8817940151637872e-05,1.1472631582519895e-06,236,0.519964521594555
