symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume
KKR,20,107.0495,952188.7,346.21372578308484,9.341472870027418e-05,101931324.24064998
KLAC,20,808.9515,355149.05,333.81366522006624,1.236168052102011e-05,287298356.721075
KMB,20,138.00925,207249.15,146.71363363546521,7.245891126862873e-05,28602299.754637502
KMI,20,19.7855,1216385.5,135.70611617271058,0.0005054206363245812,24066795.31025
KMX,20,71.15725,304960.45,294.8481671187682,0.00014053381770655837,21700146.980762504
KO,20,63.372,871646.85,120.34661185648704,0.00015779839676828883,55238004.1782
KR,20,50.7705,833054.45,185.9216176707006,0.00019696477285037573,42294590.953724995
KVUE,20,18.5625,1890047.6,242.74381339190023,0.0005387205387205387,35084008.575
L,20,75.298,70151.75,144.81514244339684,0.000132805652208558,5282286.4715
LDOS,20,145.51,81414.25,165.30634478177976,6.872379905161158e-05,11846587.5175
