session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-04-01,propagator,2,-4.5198896686340674e-05,3.3794079735819566e-05,1.872997019130114e-06,281,-0.7476748817639237
MSFT_2024-04-01,propagator,3,-2.483793664244548e-05,1.7003033818386815e-05,1.019684612575222e-06,281,-0.684559030130159
MSFT_2024-04-01,propagator,4,-6.232326374939376e-06,1.347155687875579e-05,1.0155467410858685e-06,283,-2.161561521059916
MSFT_2024-04-01,propagator,5,1.0244202236135689e-05,1.2570199993097344e-05,7.71078721707714e-07,289,1.2270550408265921
MSFT_2024-04-01,propagator,6,2.6993935963869723e-05,2.1451738256708097e-05,1.3172794686633006e-06,275,0.7946873062683548
MSFT_2024-04-01,propagator,7,4.750701009580241e-05,3.687948884257889e-05,1.8321406315355051e-06,285,0.7762957249510732
MSFT_2024-04-01,propagator,8,8.70547548766585e-05,6.149504448033656e-05,2.6812266463290093e-06,281,0.7063950104444541
MSFT_2024-04-01,propagator,9,0.00022627917022978304,0.00014569865871169143,5.1823580642740305e-06,282,0.6438889561232555
MSFT_2024-10-01,propagator,0,-0.0003017265566502697,0.0001491775205953544,5.47282945593447e-06,393,-0.49441296202596313
MSFT_2024-10-01,propagator,1,-0.00011321263511609525,6.565949862792126e-05,2.545862591675476e-06,402,-0.579966172155519
MSFT_2024-10-01,propagator,2,-7.979170691757845e-05,3.805527923843674e-05,1.8428809978143982e-06,385,-0.47693276292166903
MSFT_2024-10-01,propagator,3,-5.356749464501667e-05,2.7567676925657633e-05,1.2731965970939597e-06,507,-0.5146344272463045
MSFT_2024-10-01,propagator,4,-3.344261613655872e-05,1.8712379110029637e-05,1.2213608984692788e-06,276,-0.5595369403404323
MSFT_2024-10-01,propagator,5,3.887100143641407e-05,1.614781478591571e-05,7.649035317719612e-07,407,0.41542060119882984
MSFT_2024-10-01,propagator,6,5.867853195786063e-05,2.723892578416089e-05,1.320248569938842e-06,383,0.46420598599368906
MSFT_2024-10-01,propagator,7,7.947137451365297e-05,3.841015158378751e-05,1.8428646968253404e-06,388,0.4833205895688736
MSFT_2024-10-01,propagator,8,0.00011558919879725454,7.005993874523713e-05,3.0506252626677652e-06,394,0.6061114660732572
MSFT_2024-10-01,propagator,9,0.0003306755725452691,0.0001499837235488114,5.857024101979681e-06,391,0.4535675931377689
MSFT_2024-12-02,propagator,0,-0.0004679900431694051,0.0001670280879779784,9.10790703439158e-06,201,-0.35690521714265794
MSFT_2024-12-02,propagator,1,-0.0001599823668235984,7.531469233533983e-05,6.631151830282286e-06,200,-0.470768709268967
MSFT_2024-12-02,propagator,2,-8.363119226065028e-05,4.499120661358269e-05,4.290709129529885e-06,200,-0.5379716036255975
MSFT_2024-12-02,propagator,3,-4.2407597530250007e-05,2.4054002073202423e-05,2.3090381027649285e-06,202,-0.5672097330211721
MSFT_2024-12-02,propagator,4,-1.665350339459836e-05,1.67819841288901e-05,2.8502522392281675e-06,199,-1.007714937286614
MSFT_2024-12-02,propagator,5,1.1673462200306824e-05,1.796561839398551e-05,1.5894091385968009e-06,202,1.5390137121027643
MSFT_2024-12-02,propagator,6,4.051450860182925e-05,2.8068596655647787e-05,2.754967937163064e-06,202,0.6928035813417339
MSFT_2024-12-02,propagator,7,7.439050740059235e-05,4.191053443642495e-05,4.1972587839904345e-06,197,0.5633855165248036
MSFT_2024-12-02,propagator,8,0.0001342083633933535,7.142262914294317e-05,5.96620451992111e-06,200,0.5321771858107636
MSFT_2024-12-02,propagator,9,0.00035945077225664235,0.00014616855525084185,8.214167803867747e-06,201,0.40664415417218724
INTC_2024-08-02,propagator,0,-0.003532906125117469,0.0007268947468031836,5.0853802589521246e-05,139,-0.20574980513500465
INTC_2024-08-02,propagator,1,-0.0007929290620442444,0.0003534509320450948,2.713467265000107e-05,138,-0.44575353453922556
INTC_2024-08-02,propagator,2,-0.0004011064366067021,0.00020240420298554287,1.3688190810896641e-05,138,-0.5046146970311692
INTC_2024-08-02,propagator,3,-0.0002487066655771731,9.182890809167826e-05,1.2185709170388862e-05,138,-0.36922576191744233
