q,impact,n,symbol
0.000714497251056957,0.03464655923459664,559,EXR
0.001138854401780399,0.036881406886789876,561,EXR
0.0015462193573931016,0.04473541097992247,560,EXR
0.00199435131243625,0.047945668760761395,560,EXR
0.002495625833960138,0.04977542989490053,561,EXR
0.0030225723808100257,0.055252986806763715,560,EXR
0.003653231040710521,0.05887863508025826,560,EXR
0.004485808735433515,0.06445938950895731,561,EXR
0.005624190767446305,0.06297367151201384,560,EXR
0.007522759788733884,0.06901991003891046,560,EXR
0.014994243249171488,0.07595301348202971,561,EXR
0.0002832202849106554,0.022110831074207936,931,FCX
0.00046027327015289406,0.026706521937298243,930,FCX
0.0005961098204438355,0.031119240379865607,931,FCX
0.000729917185028515,0.0353801163312081,930,FCX
0.0008600232441960868,0.03809680629336669,930,FCX
0.0010016731111874855,0.04238812662051058,931,FCX
0.0011650425689594451,0.046155748367035614,930,FCX
0.0013556949740778513,0.05043318952336862,930,FCX
0.0016093810948654595,0.05829272129719432,931,FCX
0.001965831286712908,0.06069906451887342,930,FCX
0.0026114728535962307,0.0717017854575402,930,FCX
0.005192094482908186,0.09897907790147957,931,FCX
0.000265784050781393,0.023171228875247717,732,FDX
0.0005711933743506555,0.03290731702599729,732,FDX
0.0008508151419733712,0.036861637928564485,731,FDX
0.0011242046726627917,0.042538872970932506,732,FDX
0.0014088109097649332,0.044668113957208135,731,FDX
0.0017415369704409708,0.049558703951599184,732,FDX
0.0021185432240412258,0.052965709392905826,731,FDX
0.0025747551815710167,0.055172878422391596,732,FDX
0.0031527591217941214,0.061744473038222794,731,FDX
0.0039053187741941177,0.06505777671041173,732,FDX
0.005222569199746221,0.06941077588171696,731,FDX
0.010497905989092927,0.07929117705218187,732,FDX
0.00035706210638094366,0.025613165000851448,935,FE
0.0006418684434860693,0.032106975276905404,935,FE
0.0008598622780440762,0.036775068128859,934,FE
0.0010681185469076785,0.03997853641169221,935,FE
0.001280744218118233,0.0447366283684883,934,FE
0.0015103202746387075,0.045352148922495256,935,FE
0.0017716332844296692,0.051935216084126004,935,FE
0.002083535740173172,0.054801653745279046,934,FE
0.0024991782178070093,0.0618611428053937,935,FE
0.0030597430561273937,0.06455645363271238,934,FE
0.003985218048452945,0.07668021081684975,935,FE
0.007848155198278568,0.09922726411957956,935,FE
0.00027901707470983294,0.02170083543759651,1056,FITB
0.0004820164745644199,0.029311987936175028,1055,FITB
0.0006300933935006001,0.03419892250582517,1055,FITB
0.0007667241301454276,0.03649518945189258,1057,FITB
0.0009053288570628129,0.0408771798322066,1054,FITB
0.0010582285000191058,0.04474545973167429,1055,FITB
0.0012278452326427887,0.04847707480848578,1055,FITB
0.00143140664805461,0.052199466802073574,1056,FITB
0.001697743149702437,0.05997534613360509,1055,FITB
0.0020613244365284633,0.06313033920597078,1055,FITB
0.0027025905434994277,0.07454119793707092,1055,FITB
0.00689651151276024,0.0940211763682702,1056,FITB
0.00025501396593387196,0.021027169366200475,899,FSLR
0.0004732218462619139,0.027848864276607665,899,FSLR
0.0006583810572918502,0.03340901507898327,898,FSLR
0.0008384892192077011,0.03854388032659157,899,FSLR
0.001031743208727463,0.045914422403679836,898,FSLR
0.001242846784417404,0.04859351971396688,899,FSLR
0.0014851753100392766,0.05168184114810452,899,FSLR
