session,schedule,benchmark,pricing,saving_per_share,saving_pct
AAPL_2024-06-03,kkt_ac_low,twap,model,0.00011405664716595274,8.104783507589389
AAPL_2024-06-03,kkt_ac_low,vwap,model,7.075750712652942e-05,5.1875897486110985
AAPL_2024-06-03,kkt_ac_medium,twap,model,-0.00021676936460697277,-15.403475508630155
AAPL_2024-06-03,kkt_ac_medium,vwap,model,-0.0002600685046463961,-19.066933862264733
AAPL_2024-06-03,kkt_ac_high,twap,model,-0.0019184775056560932,-136.32563497065735
AAPL_2024-06-03,kkt_ac_high,vwap,model,-0.0019617766456955163,-143.82774110563682
AAPL_2024-06-03,kkt_risk_neutral,twap,realised_bucket,-8.832049682877427e-06,-7.448504680808761
AAPL_2024-06-03,kkt_risk_neutral,vwap,realised_bucket,1.0353085080448357e-05,7.515309108000532
AAPL_2024-06-03,kkt_ac_low,twap,realised_bucket,-8.856876593939077e-06,-7.4694424438300935
AAPL_2024-06-03,kkt_ac_low,vwap,realised_bucket,1.0328258169386707e-05,7.497287242114635
AAPL_2024-06-03,kkt_ac_medium,twap,realised_bucket,-3.718811090380167e-05,-31.36257472310307
AAPL_2024-06-03,kkt_ac_medium,vwap,realised_bucket,-1.8002976140475886e-05,-13.0683684629563
AAPL_2024-06-03,kkt_ac_high,twap,realised_bucket,-0.00018581767267467002,-156.70924127357836
AAPL_2024-06-03,kkt_ac_high,vwap,realised_bucket,-0.00016663253791134424,-120.95863408089917
AAPL_2024-08-01,kkt_risk_neutral,twap,model,0.00022072859544642687,8.374576220452592
AAPL_2024-08-01,kkt_risk_neutral,vwap,model,0.00012949716649163223,5.089362659518941
AAPL_2024-08-01,kkt_ac_low,twap,model,0.00020392379554761688,7.736991963019143
AAPL_2024-08-01,kkt_ac_low,vwap,model,0.00011269236659282224,4.428917929933158
AAPL_2024-08-01,kkt_ac_medium,twap,model,-0.0004269803570880462,-16.19989262305521
AAPL_2024-08-01,kkt_ac_medium,vwap,model,-0.0005182117860428408,-20.366219470751684
AAPL_2024-08-01,kkt_ac_high,twap,model,-0.003970544599984792,-150.64486013707096
AAPL_2024-08-01,kkt_ac_high,vwap,model,-0.004061776028939586,-159.6316878049221
